epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7322,2.33588,3.29323,1.70393,0.56192,0.11912,0.10493,0.03413,2.29542,2.54117,1.77813,0.000300939,0.000300939,0.000300939
2,89.4387,2.1432,2.30913,1.56716,0.54175,0.21146,0.10412,0.03612,2.25186,3.60898,1.75578,0.000591981,0.000591981,0.000591981
3,131.084,2.1072,2.18147,1.53526,0.56242,0.19262,0.14291,0.04759,2.28023,2.38449,1.85162,0.000871024,0.000871024,0.000871024
4,172.223,2.08211,2.10476,1.56487,0.29565,0.12989,0.1221,0.03808,2.29826,2.42636,1.86014,0.000855005,0.000855005,0.000855005
5,213.841,2.05623,1.99314,1.54387,0.47881,0.2074,0.17091,0.06333,2.19696,2.02546,1.75614,0.000837007,0.000837007,0.000837007
6,255.117,2.05601,1.96993,1.50939,0.17143,0.18343,0.15189,0.05266,2.17108,2.07729,1.7475,0.000819009,0.000819009,0.000819009
7,297.35,2.02417,1.85777,1.48418,0.3561,0.20198,0.18022,0.06609,2.10483,1.96784,1.71126,0.000801011,0.000801011,0.000801011
8,338.893,2.01129,1.88192,1.50362,0.3343,0.20238,0.18705,0.06955,2.11141,1.92317,1.68561,0.000783013,0.000783013,0.000783013
9,380.119,2.0062,1.83405,1.46694,0.18092,0.17402,0.15774,0.05444,2.21115,2.01041,1.77266,0.000765014,0.000765014,0.000765014
10,421.509,1.96066,1.74623,1.4513,0.34795,0.19585,0.18814,0.06988,2.08476,1.88853,1.62174,0.000747016,0.000747016,0.000747016
11,462.186,1.97147,1.77905,1.46522,0.3669,0.22034,0.20519,0.07218,2.09719,1.93464,1.67011,0.000729018,0.000729018,0.000729018
12,504.159,1.94071,1.73871,1.45397,0.47569,0.23358,0.17957,0.06395,2.17051,1.87875,1.71753,0.00071102,0.00071102,0.00071102
13,546.267,1.93287,1.71668,1.43409,0.49101,0.19987,0.18291,0.0687,2.09337,1.894,1.63702,0.000693022,0.000693022,0.000693022
14,587.944,1.93006,1.71091,1.44067,0.52781,0.21173,0.2071,0.07552,2.05903,1.81485,1.6338,0.000675023,0.000675023,0.000675023
15,629.466,1.90918,1.67382,1.4151,0.53837,0.21236,0.21864,0.07952,2.07994,1.83189,1.63329,0.000657025,0.000657025,0.000657025
16,670.195,1.89514,1.65146,1.41005,0.52124,0.24629,0.2345,0.08718,2.09263,1.86088,1.65945,0.000639027,0.000639027,0.000639027
17,710.644,1.88646,1.63517,1.40383,0.42619,0.24807,0.22776,0.08491,2.04021,1.77081,1.61827,0.000621029,0.000621029,0.000621029
18,751.108,1.88615,1.60124,1.41375,0.55984,0.23683,0.25499,0.09069,2.0535,1.77163,1.63088,0.000603031,0.000603031,0.000603031
19,791.912,1.8798,1.59504,1.40532,0.57363,0.2319,0.24607,0.08882,2.01547,1.73826,1.60569,0.000585032,0.000585032,0.000585032
20,832.833,1.87646,1.59118,1.40283,0.49762,0.24489,0.25351,0.09585,2.0494,1.69163,1.61103,0.000567034,0.000567034,0.000567034
21,874.163,1.85015,1.56491,1.38837,0.57835,0.22589,0.24597,0.0934,2.03508,1.74496,1.63781,0.000549036,0.000549036,0.000549036
22,915.543,1.84765,1.53291,1.38357,0.40259,0.32964,0.28519,0.09557,2.03962,1.71686,1.60178,0.000531038,0.000531038,0.000531038
23,956.471,1.84779,1.55083,1.38116,0.58005,0.23948,0.24294,0.09447,2.02165,1.74233,1.61322,0.00051304,0.00051304,0.00051304
24,997.317,1.84675,1.50903,1.35587,0.44737,0.33023,0.30115,0.1116,2.00466,1.67742,1.58262,0.000495041,0.000495041,0.000495041
25,1038.65,1.81959,1.50727,1.36394,0.53766,0.27041,0.25687,0.09508,2.0199,1.67349,1.61531,0.000477043,0.000477043,0.000477043
26,1079.36,1.81213,1.48972,1.36585,0.41463,0.24592,0.2561,0.09785,1.99575,1.65095,1.58019,0.000459045,0.000459045,0.000459045
27,1120.64,1.80081,1.47649,1.35073,0.40404,0.2659,0.24725,0.09957,1.98685,1.69795,1.60194,0.000441047,0.000441047,0.000441047
28,1161.29,1.79657,1.46592,1.35341,0.42669,0.2718,0.24971,0.09691,2.03126,1.62075,1.5985,0.000423049,0.000423049,0.000423049
29,1202.61,1.78171,1.43629,1.34823,0.43788,0.27246,0.27591,0.10643,2.03828,1.61771,1.61047,0.00040505,0.00040505,0.00040505
30,1243.88,1.78116,1.43967,1.34264,0.52659,0.32207,0.31029,0.10266,2.01813,1.66495,1.59305,0.000387052,0.000387052,0.000387052
31,1285.08,1.77968,1.40227,1.33154,0.53941,0.28215,0.28345,0.10423,2.00289,1.59802,1.57751,0.000369054,0.000369054,0.000369054
32,1326.79,1.76686,1.40596,1.33675,0.54029,0.27719,0.3253,0.12022,2.00886,1.59059,1.57024,0.000351056,0.000351056,0.000351056
33,1367.85,1.75489,1.36628,1.31699,0.65848,0.32107,0.33191,0.11541,1.99383,1.5725,1.58745,0.000333058,0.000333058,0.000333058
34,1408.86,1.74404,1.35466,1.31482,0.59483,0.27633,0.28187,0.10443,2.01177,1.61733,1.59135,0.000315059,0.000315059,0.000315059
35,1450.29,1.74627,1.36154,1.31963,0.56943,0.33298,0.33358,0.1175,1.9953,1.57045,1.57615,0.000297061,0.000297061,0.000297061
36,1492.1,1.73292,1.34851,1.30706,0.55746,0.28945,0.33007,0.11191,2.00328,1.55611,1.57525,0.000279063,0.000279063,0.000279063
37,1533.34,1.72708,1.32134,1.30387,0.42371,0.28255,0.25969,0.10412,2.01122,1.54698,1.59117,0.000261065,0.000261065,0.000261065
38,1575.22,1.71076,1.30307,1.29256,0.533,0.28482,0.33806,0.11513,2.002,1.49423,1.57732,0.000243067,0.000243067,0.000243067
39,1616.86,1.72834,1.29886,1.29995,0.52961,0.29937,0.28748,0.10863,2.00846,1.51293,1.57357,0.000225068,0.000225068,0.000225068
40,1657.81,1.69831,1.27303,1.28233,0.45826,0.33249,0.35642,0.12321,2.00518,1.50971,1.56966,0.00020707,0.00020707,0.00020707
41,1699.81,1.66572,1.26106,1.32326,0.55943,0.34074,0.35079,0.11898,2.01696,1.52125,1.5915,0.000189072,0.000189072,0.000189072
42,1738.65,1.66969,1.22825,1.31661,0.57719,0.3204,0.34537,0.1211,2.00249,1.49269,1.5776,0.000171074,0.000171074,0.000171074
43,1776.97,1.64558,1.19874,1.30658,0.44583,0.32772,0.36682,0.12447,2.00411,1.46653,1.57184,0.000153076,0.000153076,0.000153076
44,1815.7,1.63193,1.1982,1.30136,0.56683,0.31146,0.3617,0.12682,1.99222,1.46133,1.5642,0.000135077,0.000135077,0.000135077
45,1854.57,1.61575,1.18023,1.3007,0.43937,0.3218,0.35696,0.12927,2.01378,1.4652,1.58875,0.000117079,0.000117079,0.000117079
46,1893.46,1.60961,1.15913,1.29071,0.41403,0.33452,0.36442,0.12719,2.00818,1.45855,1.58403,9.9081e-05,9.9081e-05,9.9081e-05
47,1932.09,1.6071,1.14928,1.28278,0.59682,0.38171,0.38336,0.13286,2.01191,1.44557,1.5889,8.10828e-05,8.10828e-05,8.10828e-05
48,1971.23,1.59651,1.14389,1.27323,0.60327,0.3816,0.38776,0.13198,2.00444,1.44609,1.582,6.30846e-05,6.30846e-05,6.30846e-05
49,2010.1,1.59206,1.13256,1.27853,0.56779,0.32798,0.36998,0.13247,1.99645,1.44755,1.58196,4.50864e-05,4.50864e-05,4.50864e-05
50,2048.54,1.57206,1.11757,1.26923,0.59309,0.32955,0.37706,0.13162,1.99704,1.43484,1.58208,2.70882e-05,2.70882e-05,2.70882e-05
